Multi-Step Method - Milne's Method
Single-Step Method - Modified Euler's Method

---- Single Step Method ----

y0 = y(1) = 1, f(1, 1) = 2
y1 = y(1.01) = 1.02040706, f(1.01, 1.02040706) = 2.0822593
y2 = y(1.02) = 1.04166015, f(1.02, 1.04166015) = 2.16929213
y3 = y(1.03) = 1.06380901, f(1.03, 1.06380901) = 2.26150951

---- Multi-Step Method ----

y(p)4 = y(1.04) = 1.08690994, f(1.04, 1.08690994) = 2.35937327
y(c1)4 = y(1.04) = 1.08690916, f(1.04, 1.08690916) = 2.35937144
y(c2)4 = y(1.04) = 1.08690916, f(1.04, 1.08690916) = 2.35937144
y(c3)4 = y(1.04) = 1.08690916, f(1.04, 1.08690916) = 2.35937144
y(c4)4 = y(1.04) = 1.08690916, f(1.04, 1.08690916) = 2.35937144
y(c5)4 = y(1.04) = 1.08690916, f(1.04, 1.08690916) = 2.35937144

y4 = y(1.04) = 1.08690916, f(1.04, 1.08690916) = 2.35937144

y(p)5 = y(1.05) = 1.11101796, f(1.05, 1.11101796) = 2.4633829
y(c1)5 = y(1.05) = 1.11101694, f(1.05, 1.11101694) = 2.4633804
y(c2)5 = y(1.05) = 1.11101693, f(1.05, 1.11101693) = 2.46338038
y(c3)5 = y(1.05) = 1.11101693, f(1.05, 1.11101693) = 2.46338038
y(c4)5 = y(1.05) = 1.11101693, f(1.05, 1.11101693) = 2.46338038
y(c5)5 = y(1.05) = 1.11101693, f(1.05, 1.11101693) = 2.46338038

y5 = y(1.05) = 1.11101693, f(1.05, 1.11101693) = 2.46338038

y(p)6 = y(1.06) = 1.13619893, f(1.06, 1.13619893) = 2.57410918
y(c1)6 = y(1.06) = 1.13619917, f(1.06, 1.13619917) = 2.5741098
y(c2)6 = y(1.06) = 1.13619917, f(1.06, 1.13619917) = 2.5741098
y(c3)6 = y(1.06) = 1.13619917, f(1.06, 1.13619917) = 2.5741098
y(c4)6 = y(1.06) = 1.13619917, f(1.06, 1.13619917) = 2.5741098
y(c5)6 = y(1.06) = 1.13619917, f(1.06, 1.13619917) = 2.5741098

y6 = y(1.06) = 1.13619917, f(1.06, 1.13619917) = 2.5741098

y(p)7 = y(1.07) = 1.16252344, f(1.07, 1.16252344) = 2.69218741
y(c1)7 = y(1.07) = 1.16252362, f(1.07, 1.16252362) = 2.69218789
y(c2)7 = y(1.07) = 1.16252362, f(1.07, 1.16252362) = 2.69218789
y(c3)7 = y(1.07) = 1.16252362, f(1.07, 1.16252362) = 2.69218789
y(c4)7 = y(1.07) = 1.16252362, f(1.07, 1.16252362) = 2.69218789
y(c5)7 = y(1.07) = 1.16252362, f(1.07, 1.16252362) = 2.69218789

y7 = y(1.07) = 1.16252362, f(1.07, 1.16252362) = 2.69218789

y(p)8 = y(1.08) = 1.19006952, f(1.08, 1.19006952) = 2.81833204
y(c1)8 = y(1.08) = 1.19006981, f(1.08, 1.19006981) = 2.81833284
y(c2)8 = y(1.08) = 1.19006982, f(1.08, 1.19006982) = 2.81833287
y(c3)8 = y(1.08) = 1.19006982, f(1.08, 1.19006982) = 2.81833287
y(c4)8 = y(1.08) = 1.19006982, f(1.08, 1.19006982) = 2.81833287
y(c5)8 = y(1.08) = 1.19006982, f(1.08, 1.19006982) = 2.81833287

y8 = y(1.08) = 1.19006982, f(1.08, 1.19006982) = 2.81833287

y(p)9 = y(1.09) = 1.21891956, f(1.09, 1.21891956) = 2.95333727
y(c1)9 = y(1.09) = 1.21891981, f(1.09, 1.21891981) = 2.95333799
y(c2)9 = y(1.09) = 1.21891981, f(1.09, 1.21891981) = 2.95333799
y(c3)9 = y(1.09) = 1.21891981, f(1.09, 1.21891981) = 2.95333799
y(c4)9 = y(1.09) = 1.21891981, f(1.09, 1.21891981) = 2.95333799
y(c5)9 = y(1.09) = 1.21891981, f(1.09, 1.21891981) = 2.95333799

y9 = y(1.09) = 1.21891981, f(1.09, 1.21891981) = 2.95333799

y(p)10 = y(1.1) = 1.24916876, f(1.1, 1.24916876) = 3.09811134
y(c1)10 = y(1.1) = 1.24916914, f(1.1, 1.24916914) = 3.09811248
y(c2)10 = y(1.1) = 1.24916914, f(1.1, 1.24916914) = 3.09811248
y(c3)10 = y(1.1) = 1.24916914, f(1.1, 1.24916914) = 3.09811248
y(c4)10 = y(1.1) = 1.24916914, f(1.1, 1.24916914) = 3.09811248
y(c5)10 = y(1.1) = 1.24916914, f(1.1, 1.24916914) = 3.09811248

y10 = y(1.1) = 1.24916914, f(1.1, 1.24916914) = 3.09811248

y(p)11 = y(1.11) = 1.28091766, f(1.11, 1.28091766) = 3.25366814
y(c1)11 = y(1.11) = 1.280918, f(1.11, 1.280918) = 3.25366921
y(c2)11 = y(1.11) = 1.280918, f(1.11, 1.280918) = 3.25366921
y(c3)11 = y(1.11) = 1.280918, f(1.11, 1.280918) = 3.25366921
y(c4)11 = y(1.11) = 1.280918, f(1.11, 1.280918) = 3.25366921
y(c5)11 = y(1.11) = 1.280918, f(1.11, 1.280918) = 3.25366921

y11 = y(1.11) = 1.280918, f(1.11, 1.280918) = 3.25366921

y(p)12 = y(1.12) = 1.31428185, f(1.12, 1.31428185) = 3.42117126
y(c1)12 = y(1.12) = 1.31428234, f(1.12, 1.31428234) = 3.42117287
y(c2)12 = y(1.12) = 1.31428235, f(1.12, 1.31428235) = 3.42117291
y(c3)12 = y(1.12) = 1.31428235, f(1.12, 1.31428235) = 3.42117291
y(c4)12 = y(1.12) = 1.31428235, f(1.12, 1.31428235) = 3.42117291
y(c5)12 = y(1.12) = 1.31428235, f(1.12, 1.31428235) = 3.42117291

y12 = y(1.12) = 1.31428235, f(1.12, 1.31428235) = 3.42117291

y(p)13 = y(1.13) = 1.34938516, f(1.13, 1.34938516) = 3.60193099
y(c1)13 = y(1.13) = 1.34938564, f(1.13, 1.34938564) = 3.60193265
y(c2)13 = y(1.13) = 1.34938564, f(1.13, 1.34938564) = 3.60193265
y(c3)13 = y(1.13) = 1.34938564, f(1.13, 1.34938564) = 3.60193265
y(c4)13 = y(1.13) = 1.34938564, f(1.13, 1.34938564) = 3.60193265
y(c5)13 = y(1.13) = 1.34938564, f(1.13, 1.34938564) = 3.60193265

y13 = y(1.13) = 1.34938564, f(1.13, 1.34938564) = 3.60193265

y(p)14 = y(1.14) = 1.38636955, f(1.14, 1.38636955) = 3.79745788
y(c1)14 = y(1.14) = 1.38637022, f(1.14, 1.38637022) = 3.79746029
y(c2)14 = y(1.14) = 1.38637023, f(1.14, 1.38637023) = 3.79746033
y(c3)14 = y(1.14) = 1.38637023, f(1.14, 1.38637023) = 3.79746033
y(c4)14 = y(1.14) = 1.38637023, f(1.14, 1.38637023) = 3.79746033
y(c5)14 = y(1.14) = 1.38637023, f(1.14, 1.38637023) = 3.79746033

y14 = y(1.14) = 1.38637023, f(1.14, 1.38637023) = 3.79746033

y(p)15 = y(1.15) = 1.42538912, f(1.15, 1.42538912) = 4.0094684
y(c1)15 = y(1.15) = 1.42538978, f(1.15, 1.42538978) = 4.00947089
y(c2)15 = y(1.15) = 1.42538979, f(1.15, 1.42538979) = 4.00947093
y(c3)15 = y(1.15) = 1.42538979, f(1.15, 1.42538979) = 4.00947093
y(c4)15 = y(1.15) = 1.42538979, f(1.15, 1.42538979) = 4.00947093
y(c5)15 = y(1.15) = 1.42538979, f(1.15, 1.42538979) = 4.00947093

y15 = y(1.15) = 1.42538979, f(1.15, 1.42538979) = 4.00947093

y(p)16 = y(1.16) = 1.46662031, f(1.16, 1.46662031) = 4.23995214
y(c1)16 = y(1.16) = 1.46662122, f(1.16, 1.46662122) = 4.23995573
y(c2)16 = y(1.16) = 1.46662123, f(1.16, 1.46662123) = 4.23995577
y(c3)16 = y(1.16) = 1.46662123, f(1.16, 1.46662123) = 4.23995577
y(c4)16 = y(1.16) = 1.46662123, f(1.16, 1.46662123) = 4.23995577
y(c5)16 = y(1.16) = 1.46662123, f(1.16, 1.46662123) = 4.23995577

y16 = y(1.16) = 1.46662123, f(1.16, 1.46662123) = 4.23995577

y(p)17 = y(1.17) = 1.51025712, f(1.17, 1.51025712) = 4.49119193
y(c1)17 = y(1.17) = 1.51025808, f(1.17, 1.51025808) = 4.4911959
y(c2)17 = y(1.17) = 1.51025809, f(1.17, 1.51025809) = 4.49119595
y(c3)17 = y(1.17) = 1.51025809, f(1.17, 1.51025809) = 4.49119595
y(c4)17 = y(1.17) = 1.51025809, f(1.17, 1.51025809) = 4.49119595
