Multi-Step Method - Milne's Method
Single-Step Methos - RK 4th Order Method

---- Single Step Method ----

y0 = y(1) = 1, f(1, 1) = 2
y1 = y(1.01) = 1.02040748, f(1.01, 1.02040748) = 2.08226018
y2 = y(1.02) = 1.04166111, f(1.02, 1.04166111) = 2.16929421
y3 = y(1.03) = 1.06381064, f(1.03, 1.06381064) = 2.26151319

---- Multi-Step Method ----

y(p)4 = y(1.04) = 1.08691003, f(1.04, 1.08691003) = 2.35937348
y(c1)4 = y(1.04) = 1.08691018, f(1.04, 1.08691018) = 2.35937384
y(c2)4 = y(1.04) = 1.08691018, f(1.04, 1.08691018) = 2.35937384
y(c3)4 = y(1.04) = 1.08691018, f(1.04, 1.08691018) = 2.35937384
y(c4)4 = y(1.04) = 1.08691018, f(1.04, 1.08691018) = 2.35937384
y(c5)4 = y(1.04) = 1.08691018, f(1.04, 1.08691018) = 2.35937384

y4 = y(1.04) = 1.08691018, f(1.04, 1.08691018) = 2.35937384

y(p)5 = y(1.05) = 1.11101845, f(1.05, 1.11101845) = 2.4633841
y(c1)5 = y(1.05) = 1.11101862, f(1.05, 1.11101862) = 2.46338452
y(c2)5 = y(1.05) = 1.11101862, f(1.05, 1.11101862) = 2.46338452
y(c3)5 = y(1.05) = 1.11101862, f(1.05, 1.11101862) = 2.46338452
y(c4)5 = y(1.05) = 1.11101862, f(1.05, 1.11101862) = 2.46338452
y(c5)5 = y(1.05) = 1.11101862, f(1.05, 1.11101862) = 2.46338452

y5 = y(1.05) = 1.11101862, f(1.05, 1.11101862) = 2.46338452

y(p)6 = y(1.06) = 1.13620006, f(1.06, 1.13620006) = 2.57411207
y(c1)6 = y(1.06) = 1.13620026, f(1.06, 1.13620026) = 2.57411258
y(c2)6 = y(1.06) = 1.13620026, f(1.06, 1.13620026) = 2.57411258
y(c3)6 = y(1.06) = 1.13620026, f(1.06, 1.13620026) = 2.57411258
y(c4)6 = y(1.06) = 1.13620026, f(1.06, 1.13620026) = 2.57411258
y(c5)6 = y(1.06) = 1.13620026, f(1.06, 1.13620026) = 2.57411258

y6 = y(1.06) = 1.13620026, f(1.06, 1.13620026) = 2.57411258

y(p)7 = y(1.07) = 1.16252515, f(1.07, 1.16252515) = 2.69219196
y(c1)7 = y(1.07) = 1.16252538, f(1.07, 1.16252538) = 2.69219258
y(c2)7 = y(1.07) = 1.16252538, f(1.07, 1.16252538) = 2.69219258
y(c3)7 = y(1.07) = 1.16252538, f(1.07, 1.16252538) = 2.69219258
y(c4)7 = y(1.07) = 1.16252538, f(1.07, 1.16252538) = 2.69219258
y(c5)7 = y(1.07) = 1.16252538, f(1.07, 1.16252538) = 2.69219258

y7 = y(1.07) = 1.16252538, f(1.07, 1.16252538) = 2.69219258

y(p)8 = y(1.08) = 1.19007073, f(1.08, 1.19007073) = 2.81833539
y(c1)8 = y(1.08) = 1.19007099, f(1.08, 1.19007099) = 2.81833612
y(c2)8 = y(1.08) = 1.19007099, f(1.08, 1.19007099) = 2.81833612
y(c3)8 = y(1.08) = 1.19007099, f(1.08, 1.19007099) = 2.81833612
y(c4)8 = y(1.08) = 1.19007099, f(1.08, 1.19007099) = 2.81833612
y(c5)8 = y(1.08) = 1.19007099, f(1.08, 1.19007099) = 2.81833612

y8 = y(1.08) = 1.19007099, f(1.08, 1.19007099) = 2.81833612

y(p)9 = y(1.09) = 1.21892135, f(1.09, 1.21892135) = 2.95334245
y(c1)9 = y(1.09) = 1.21892165, f(1.09, 1.21892165) = 2.95334332
y(c2)9 = y(1.09) = 1.21892165, f(1.09, 1.21892165) = 2.95334332
y(c3)9 = y(1.09) = 1.21892165, f(1.09, 1.21892165) = 2.95334332
y(c4)9 = y(1.09) = 1.21892165, f(1.09, 1.21892165) = 2.95334332
y(c5)9 = y(1.09) = 1.21892165, f(1.09, 1.21892165) = 2.95334332

y9 = y(1.09) = 1.21892165, f(1.09, 1.21892165) = 2.95334332

y(p)10 = y(1.1) = 1.24917007, f(1.1, 1.24917007) = 3.0981153
y(c1)10 = y(1.1) = 1.24917041, f(1.1, 1.24917041) = 3.09811632
y(c2)10 = y(1.1) = 1.24917041, f(1.1, 1.24917041) = 3.09811632
y(c3)10 = y(1.1) = 1.24917041, f(1.1, 1.24917041) = 3.09811632
y(c4)10 = y(1.1) = 1.24917041, f(1.1, 1.24917041) = 3.09811632
y(c5)10 = y(1.1) = 1.24917041, f(1.1, 1.24917041) = 3.09811632

y10 = y(1.1) = 1.24917041, f(1.1, 1.24917041) = 3.09811632

y(p)11 = y(1.11) = 1.28091953, f(1.11, 1.28091953) = 3.25367404
y(c1)11 = y(1.11) = 1.28091993, f(1.11, 1.28091993) = 3.2536753
y(c2)11 = y(1.11) = 1.28091993, f(1.11, 1.28091993) = 3.2536753
y(c3)11 = y(1.11) = 1.28091993, f(1.11, 1.28091993) = 3.2536753
y(c4)11 = y(1.11) = 1.28091993, f(1.11, 1.28091993) = 3.2536753
